Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3
M,LF-LD,5,47,0,2,LF152_,1765,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2402,2405,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1768,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2405,2410,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1786,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2410,2434,24,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1798,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2434,2441,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1804,3,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2441,2444,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1805,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2444,2449,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1808,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,8,2449,2483,34,8,0,0,1
M,LF-LD,5,47,0,2,LF152_,1810,4,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2483,2491,8,2,0,1,0
M,LF-LD,5,47,0,2,LF152_,1813,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2491,2498,7,3,0,0,0
M,LF-LD,5,47,0,2,LF152_,1830,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2498,2501,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1839,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2501,2506,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1846,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2506,2544,38,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1848,5,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2544,2551,7,3,0,1,0
M,LF-LD,5,47,0,2,LF152_,1849,5,4,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2551,2554,3,5,0,0,1
M,LF-LD,5,47,0,2,LF152_,1854,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2554,2559,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1875,8,0,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2559,2581,22,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1884,8,3,2,0,1,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2581,2588,7,3,0,0,1
M,LF-LD,5,47,0,2,LF152_,1891,3,5,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2588,2591,3,5,0,0,0
M,LF-LD,5,47,0,2,LF152_,1892,5,0,0,0,0,1,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2591,2596,5,4,0,0,0
M,LF-LD,5,47,0,2,LF152_,1894,5,4,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2596,2618,22,8,0,1,0
M,LF-LD,5,47,0,2,LF152_,1899,4,8,0,0,0,0,0,,060518_RETRAIN,M,LF-LD,5,47,0,2,LF152_,9,2618,2625,7,3,0,0,0
