Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,A4 - ,,,Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,
M,LF,5,43,2,1,LF152_,2524,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3187,3202,15,2,0,1,0,
M,LF,5,43,2,1,LF152_,2528,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3202,3209,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2550,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3209,3212,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2562,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3212,3217,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,2564,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3217,3250,33,8,0,2,0,
M,LF,5,43,2,1,LF152_,2569,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3250,3257,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2572,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3257,3260,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2575,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3260,3265,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,2577,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3265,3293,28,8,0,1,0,
M,LF,5,43,2,1,LF152_,2592,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3293,3300,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2606,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3300,3303,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2613,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3303,3308,5,4,2,0,0,
M,LF,5,43,2,1,LF152_,2616,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,9,3308,3381,73,8,0,0,1,
M,LF,5,43,2,1,LF152_,2618,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3381,3404,23,2,0,1,0,
M,LF,5,43,2,1,LF152_,2621,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3404,3411,7,3,0,1,0,
M,LF,5,43,2,1,LF152_,2637,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3411,3414,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2655,8,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3414,3419,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,2658,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3419,3445,26,8,0,1,0,
M,LF,5,43,2,1,LF152_,2659,3,0,0,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3445,3452,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2660,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3452,3455,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2662,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3455,3460,5,4,0,0,1,
M,LF,5,43,2,1,LF152_,2665,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,10,3460,3573,113,8,0,0,1,
M,LF,5,43,2,1,LF152_,2669,4,0,0,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,11,3573,3580,7,2,0,1,0,
M,LF,5,43,2,1,LF152_,2670,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,11,3580,3587,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2688,8,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,11,3587,3590,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2703,8,2,3,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,11,3590,3595,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2708,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,11,3595,3652,57,8,0,0,1,
M,LF,5,43,2,1,LF152_,2778,2,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3652,3728,76,2,0,1,0,
M,LF,5,43,2,1,LF152_,2783,2,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3728,3735,7,3,0,0,1,
M,LF,5,43,2,1,LF152_,2790,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3735,3738,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2793,2,0,0,1,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3738,3743,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2795,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3743,3771,28,8,0,1,0,
M,LF,5,43,2,1,LF152_,2825,2,3,2,0,1,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3771,3778,7,3,0,0,1,
M,LF,5,43,2,1,LF152_,2831,3,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3778,3781,3,5,0,0,0,
M,LF,5,43,2,1,LF152_,2832,3,5,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3781,3786,5,4,0,0,0,
M,LF,5,43,2,1,LF152_,2835,5,4,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3786,3855,69,8,0,1,0,
M,LF,5,43,2,1,LF152_,2840,4,8,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3855,3862,7,3,0,0,0,
M,LF,5,43,2,1,LF152_,2846,8,2,3,0,0,1,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3862,3865,3,5,0,0,1,
M,LF,5,43,2,1,LF152_,2867,2,0,0,0,0,0,0,,,060318_RETRAIN,M,LF,5,43,2,1,LF152_,12,3865,3870,5,4,0,0,0,
